account_id,email,region_code,tier,customer_id,annual_spend
A-0001,user4@example.com,NA,free,1,0
A-0002,user5@example.com,EU,pro,2,19
A-0003,user6@example.com,APAC,enterprise,3,38
A-0004,user7@example.com,LATAM,free,4,57
A-0005,user8@example.com,NA,pro,5,76
A-0006,user9@example.com,EU,enterprise,6,95
A-0007,user10@example.com,APAC,free,7,114
A-0008,user11@example.com,LATAM,pro,8,133
A-0009,user12@example.com,NA,enterprise,9,152
A-0010,user13@example.com,EU,free,10,171
A-0011,user14@example.com,APAC,pro,11,190
A-0012,user15@example.com,LATAM,enterprise,12,209
A-0013,user16@example.com,NA,free,13,228
A-0014,user17@example.com,EU,pro,14,247
A-0015,user18@example.com,APAC,enterprise,15,266
A-0016,user19@example.com,LATAM,free,16,285
A-0017,user20@example.com,NA,pro,17,304
A-0018,user21@example.com,EU,enterprise,18,323
A-0019,user22@example.com,APAC,free,19,342
A-0020,user23@example.com,LATAM,pro,20,361
A-0021,user24@example.com,NA,enterprise,21,380
A-0022,user25@example.com,EU,free,22,399
A-0023,user26@example.com,APAC,pro,23,418
A-0024,user27@example.com,LATAM,enterprise,24,437
A-0025,user28@example.com,NA,free,25,456
A-0026,user29@example.com,EU,pro,26,475
A-0027,user30@example.com,APAC,enterprise,27,494
A-0028,user31@example.com,LATAM,free,28,513
A-0029,user32@example.com,NA,pro,29,532
A-0030,user33@example.com,EU,enterprise,30,551
A-0031,user34@example.com,APAC,free,31,570
A-0032,user35@example.com,LATAM,pro,32,589
A-0033,user36@example.com,NA,enterprise,33,608
A-0034,user37@example.com,EU,free,34,627
A-0035,user38@example.com,APAC,pro,35,646
A-0036,user39@example.com,LATAM,enterprise,36,665
A-0037,user40@example.com,NA,free,37,684
A-0038,user41@example.com,EU,pro,38,703
A-0039,user42@example.com,APAC,enterprise,39,722
A-0040,user43@example.com,LATAM,free,40,741
A-0041,user44@example.com,NA,pro,41,760
A-0042,user45@example.com,EU,enterprise,42,779
A-0043,user46@example.com,APAC,free,43,798
A-0044,user47@example.com,LATAM,pro,44,817
A-0045,user48@example.com,NA,enterprise,45,836
A-0046,user49@example.com,EU,free,46,855
A-0047,user50@example.com,APAC,pro,47,874
A-0048,user51@example.com,LATAM,enterprise,48,893
A-0049,user52@example.com,NA,free,49,912
A-0050,user53@example.com,EU,pro,50,931
A-0051,user54@example.com,APAC,enterprise,51,950
A-0052,user55@example.com,LATAM,free,52,969
A-0053,user56@example.com,NA,pro,53,988
A-0054,user57@example.com,EU,enterprise,54,1007
A-0055,user58@example.com,APAC,free,55,1026
A-0056,user59@example.com,LATAM,pro,56,1045
A-0057,user60@example.com,NA,enterprise,57,1064
A-0058,user61@example.com,EU,free,58,1083
A-0059,user62@example.com,APAC,pro,59,1102
A-0060,user63@example.com,LATAM,enterprise,60,1121
A-0061,user64@example.com,NA,free,61,1140
A-0062,user65@example.com,EU,pro,62,1159
A-0063,user66@example.com,APAC,enterprise,63,1178
A-0064,user67@example.com,LATAM,free,64,1197
A-0065,user68@example.com,NA,pro,65,1216
A-0066,user69@example.com,EU,enterprise,66,1235
A-0067,user70@example.com,APAC,free,67,1254
A-0068,user71@example.com,LATAM,pro,68,1273
A-0069,user72@example.com,NA,enterprise,69,1292
A-0070,user73@example.com,EU,free,70,1311
A-0071,user74@example.com,APAC,pro,71,1330
A-0072,user75@example.com,LATAM,enterprise,72,1349
A-0073,user76@example.com,NA,free,73,1368
A-0074,user77@example.com,EU,pro,74,1387
A-0075,user78@example.com,APAC,enterprise,75,1406
A-0076,user79@example.com,LATAM,free,76,1425
A-0077,user80@example.com,NA,pro,77,1444
A-0078,user81@example.com,EU,enterprise,78,1463
A-0079,user82@example.com,APAC,free,79,1482
A-0080,user83@example.com,LATAM,pro,80,1501
A-0081,alan@example.com,NA,enterprise,81,1520
A-0082,user85@example.com,EU,free,82,1539
A-0083,user86@example.com,APAC,pro,83,1558
A-0084,user87@example.com,LATAM,enterprise,84,1577
A-0085,user88@example.com,NA,free,85,1596
A-0086,user89@example.com,EU,pro,86,1615
A-0087,grace@example.com,APAC,enterprise,87,1634
A-0088,user91@example.com,LATAM,free,88,1653
A-0089,user92@example.com,NA,pro,89,1672
A-0090,user93@example.com,EU,enterprise,90,1691
A-0091,user94@example.com,APAC,free,91,1710
A-0092,user95@example.com,LATAM,pro,92,1729
A-0093,user96@example.com,NA,enterprise,93,1748
A-0094,user97@example.com,EU,free,94,1767
A-0095,ada@example.com,APAC,pro,95,1786
A-0096,user99@example.com,LATAM,enterprise,96,1805
A-0097,user100@example.com,NA,free,97,1824
A-0098,user101@example.com,EU,pro,98,1843
A-0099,user102@example.com,APAC,enterprise,99,1862
A-0100,user103@example.com,LATAM,free,100,1881
A-0101,user104@example.com,NA,pro,101,1900
A-0102,user105@example.com,EU,enterprise,102,1919
A-0103,user106@example.com,APAC,free,103,1938
A-0104,user107@example.com,LATAM,pro,104,1957
A-0105,user108@example.com,NA,enterprise,105,1976
A-0106,user109@example.com,EU,free,106,1995
A-0107,user110@example.com,APAC,pro,107,2014
A-0108,user111@example.com,LATAM,enterprise,108,2033
A-0109,user112@example.com,NA,free,109,2052
A-0110,user113@example.com,EU,pro,110,2071
A-0111,user114@example.com,APAC,enterprise,111,2090
A-0112,user115@example.com,LATAM,free,112,2109
A-0113,user116@example.com,NA,pro,113,2128
A-0114,user117@example.com,EU,enterprise,114,2147
A-0115,user118@example.com,APAC,free,115,2166
A-0116,user119@example.com,LATAM,pro,116,2185
A-0117,user120@example.com,NA,enterprise,117,2204
A-0118,user121@example.com,EU,free,118,2223
A-0119,user122@example.com,APAC,pro,119,2242
A-0120,user123@example.com,LATAM,enterprise,120,2261
A-0121,user124@example.com,NA,free,121,2280
A-0122,user125@example.com,EU,pro,122,2299
A-0123,user126@example.com,APAC,enterprise,123,2318
A-0124,user127@example.com,LATAM,free,124,2337
A-0125,user128@example.com,NA,pro,125,2356
A-0126,user129@example.com,EU,enterprise,126,2375
A-0127,user130@example.com,APAC,free,127,2394
A-0128,user131@example.com,LATAM,pro,128,2413
A-0129,user132@example.com,NA,enterprise,129,2432
A-0130,user133@example.com,EU,free,130,2451
A-0131,user134@example.com,APAC,pro,131,2470
A-0132,user135@example.com,LATAM,enterprise,132,2489
A-0133,user136@example.com,NA,free,133,2508
A-0134,user137@example.com,EU,pro,134,2527
A-0135,user138@example.com,APAC,enterprise,135,2546
A-0136,user139@example.com,LATAM,free,136,2565
A-0137,user140@example.com,NA,pro,137,2584
A-0138,user141@example.com,EU,enterprise,138,2603
A-0139,user142@example.com,APAC,free,139,2622
A-0140,user143@example.com,LATAM,pro,140,2641
A-0141,user144@example.com,NA,enterprise,141,2660
A-0142,user145@example.com,EU,free,142,2679
A-0143,user146@example.com,APAC,pro,143,2698
A-0144,user147@example.com,LATAM,enterprise,144,2717
A-0145,user148@example.com,NA,free,145,2736
A-0146,user149@example.com,EU,pro,146,2755
A-0147,user150@example.com,APAC,enterprise,147,2774
A-0148,user151@example.com,LATAM,free,148,2793
A-0149,user152@example.com,NA,pro,149,2812
A-0150,user153@example.com,EU,enterprise,150,2831
A-0151,user154@example.com,APAC,free,151,2850
A-0152,user155@example.com,LATAM,pro,152,2869
A-0153,user156@example.com,NA,enterprise,153,2888
A-0154,user157@example.com,EU,free,154,2907
A-0155,user158@example.com,APAC,pro,155,2926
A-0156,user159@example.com,LATAM,enterprise,156,2945
A-0157,user160@example.com,NA,free,157,2964
A-0158,user161@example.com,EU,pro,158,2983
A-0159,user162@example.com,APAC,enterprise,159,3002
A-0160,user163@example.com,LATAM,free,160,3021
A-0161,user164@example.com,NA,pro,161,3040
A-0162,user165@example.com,EU,enterprise,162,3059
A-0163,user166@example.com,APAC,free,163,3078
A-0164,alan@example.com,LATAM,pro,164,3097
A-0165,user168@example.com,NA,enterprise,165,3116
A-0166,user169@example.com,EU,free,166,3135
A-0167,user170@example.com,APAC,pro,167,3154
A-0168,user171@example.com,LATAM,enterprise,168,3173
A-0169,user172@example.com,NA,free,169,3192
A-0170,user173@example.com,EU,pro,170,3211
A-0171,user174@example.com,APAC,enterprise,171,3230
A-0172,user175@example.com,LATAM,free,172,3249
A-0173,user176@example.com,NA,pro,173,3268
A-0174,user177@example.com,EU,enterprise,174,3287
A-0175,user178@example.com,APAC,free,175,3306
A-0176,grace@example.com,LATAM,pro,176,3325
A-0177,user180@example.com,NA,enterprise,177,3344
A-0178,user181@example.com,EU,free,178,3363
A-0179,user182@example.com,APAC,pro,179,3382
A-0180,user183@example.com,LATAM,enterprise,180,3401
A-0181,user184@example.com,NA,free,181,3420
A-0182,user185@example.com,EU,pro,182,3439
A-0183,user186@example.com,APAC,enterprise,183,3458
A-0184,user187@example.com,LATAM,free,184,3477
A-0185,user188@example.com,NA,pro,185,3496
A-0186,user189@example.com,EU,enterprise,186,3515
A-0187,user190@example.com,APAC,free,187,3534
A-0188,user191@example.com,LATAM,pro,188,3553
A-0189,user192@example.com,NA,enterprise,189,3572
A-0190,user193@example.com,EU,free,190,3591
A-0191,user194@example.com,APAC,pro,191,3610
A-0192,ada@example.com,LATAM,enterprise,192,3629
A-0193,user196@example.com,NA,free,193,3648
A-0194,user197@example.com,EU,pro,194,3667
A-0195,user198@example.com,APAC,enterprise,195,3686
A-0196,user199@example.com,LATAM,free,196,3705
A-0197,user200@example.com,NA,pro,197,3724
A-0198,user201@example.com,EU,enterprise,198,3743
A-0199,user202@example.com,APAC,free,199,3762
A-0200,user203@example.com,LATAM,pro,200,3781
A-0201,user204@example.com,NA,enterprise,201,3800
A-0202,user205@example.com,EU,free,202,3819
A-0203,user206@example.com,APAC,pro,203,3838
A-0204,user207@example.com,LATAM,enterprise,204,3857
A-0205,user208@example.com,NA,free,205,3876
A-0206,user209@example.com,EU,pro,206,3895
A-0207,user210@example.com,APAC,enterprise,207,3914
