campaign_id,name,owner_email,budget,region_code,launched_at
cmp-0001,Campaign 1,ada@example.com,1000,NA,2024-01-15
cmp-0002,Campaign 2,user2@example.com,1137,EU,2024-02-15
cmp-0003,Campaign 3,user3@example.com,1274,APAC,2024-03-15
cmp-0004,Campaign 4,user4@example.com,1411,LATAM,2024-04-15
cmp-0005,Campaign 5,user5@example.com,1548,NA,2024-05-15
cmp-0006,Campaign 6,user6@example.com,1685,EU,2024-06-15
cmp-0007,Campaign 7,user7@example.com,1822,APAC,2024-07-15
cmp-0008,Campaign 8,user8@example.com,1959,LATAM,2024-08-15
cmp-0009,Campaign 9,user9@example.com,2096,NA,2024-09-15
cmp-0010,Campaign 10,user10@example.com,2233,EU,2024-10-15
cmp-0011,Campaign 11,user11@example.com,2370,APAC,2024-11-15
cmp-0012,Campaign 12,user12@example.com,2507,LATAM,2024-12-15
cmp-0013,Campaign 13,user13@example.com,2644,NA,2024-01-15
cmp-0014,Campaign 14,user14@example.com,2781,EU,2024-02-15
cmp-0015,Campaign 15,user15@example.com,2918,APAC,2024-03-15
cmp-0016,Campaign 16,user16@example.com,3055,LATAM,2024-04-15
cmp-0017,Campaign 17,user17@example.com,3192,NA,2024-05-15
cmp-0018,Campaign 18,user18@example.com,3329,EU,2024-06-15
cmp-0019,Campaign 19,user19@example.com,3466,APAC,2024-07-15
cmp-0020,Campaign 20,user20@example.com,3603,LATAM,2024-08-15
cmp-0021,Campaign 21,user21@example.com,3740,NA,2024-09-15
cmp-0022,Campaign 22,user22@example.com,3877,EU,2024-10-15
cmp-0023,Campaign 23,user23@example.com,4014,APAC,2024-11-15
cmp-0024,Campaign 24,user24@example.com,4151,LATAM,2024-12-15
cmp-0025,Campaign 25,user25@example.com,4288,NA,2024-01-15
cmp-0026,Campaign 26,user26@example.com,4425,EU,2024-02-15
cmp-0027,Campaign 27,user27@example.com,4562,APAC,2024-03-15
cmp-0028,Campaign 28,user28@example.com,4699,LATAM,2024-04-15
cmp-0029,Campaign 29,user29@example.com,4836,NA,2024-05-15
cmp-0030,Campaign 30,user30@example.com,4973,EU,2024-06-15
cmp-0031,Campaign 31,user31@example.com,5110,APAC,2024-07-15
cmp-0032,Campaign 32,user32@example.com,5247,LATAM,2024-08-15
cmp-0033,Campaign 33,user33@example.com,5384,NA,2024-09-15
cmp-0034,Campaign 34,user34@example.com,5521,EU,2024-10-15
cmp-0035,Campaign 35,user35@example.com,5658,APAC,2024-11-15
cmp-0036,Campaign 36,user36@example.com,5795,LATAM,2024-12-15
cmp-0037,Campaign 37,user37@example.com,5932,NA,2024-01-15
cmp-0038,Campaign 38,user38@example.com,6069,EU,2024-02-15
cmp-0039,Campaign 39,user39@example.com,6206,APAC,2024-03-15
cmp-0040,Campaign 40,user40@example.com,6343,LATAM,2024-04-15
cmp-0041,Campaign 41,user41@example.com,6480,NA,2024-05-15
cmp-0042,Campaign 42,user42@example.com,6617,EU,2024-06-15
cmp-0043,Campaign 43,user43@example.com,6754,APAC,2024-07-15
cmp-0044,Campaign 44,user44@example.com,6891,LATAM,2024-08-15
cmp-0045,Campaign 45,user45@example.com,7028,NA,2024-09-15
cmp-0046,Campaign 46,user46@example.com,7165,EU,2024-10-15
cmp-0047,Campaign 47,user47@example.com,7302,APAC,2024-11-15
cmp-0048,Campaign 48,user48@example.com,7439,LATAM,2024-12-15
cmp-0049,Campaign 49,user49@example.com,7576,NA,2024-01-15
cmp-0050,Campaign 50,user50@example.com,7713,EU,2024-02-15
cmp-0051,Campaign 51,user51@example.com,7850,APAC,2024-03-15
cmp-0052,Campaign 52,user52@example.com,7987,LATAM,2024-04-15
cmp-0053,Campaign 53,user53@example.com,8124,NA,2024-05-15
cmp-0054,Campaign 54,user54@example.com,8261,EU,2024-06-15
cmp-0055,Campaign 55,user55@example.com,8398,APAC,2024-07-15
cmp-0056,Campaign 56,user56@example.com,8535,LATAM,2024-08-15
cmp-0057,Campaign 57,user57@example.com,8672,NA,2024-09-15
cmp-0058,Campaign 58,user58@example.com,8809,EU,2024-10-15
cmp-0059,Campaign 59,user59@example.com,8946,APAC,2024-11-15
cmp-0060,Campaign 60,user60@example.com,9083,LATAM,2024-12-15
cmp-0061,Campaign 61,user61@example.com,9220,NA,2024-01-15
cmp-0062,Campaign 62,user62@example.com,9357,EU,2024-02-15
cmp-0063,Campaign 63,user63@example.com,9494,APAC,2024-03-15
cmp-0064,Campaign 64,user64@example.com,9631,LATAM,2024-04-15
cmp-0065,Campaign 65,user65@example.com,9768,NA,2024-05-15
cmp-0066,Campaign 66,user66@example.com,9905,EU,2024-06-15
cmp-0067,Campaign 67,user67@example.com,10042,APAC,2024-07-15
cmp-0068,Campaign 68,user68@example.com,10179,LATAM,2024-08-15
cmp-0069,Campaign 69,user69@example.com,10316,NA,2024-09-15
cmp-0070,Campaign 70,user70@example.com,10453,EU,2024-10-15
cmp-0071,Campaign 71,user71@example.com,10590,APAC,2024-11-15
cmp-0072,Campaign 72,user72@example.com,10727,LATAM,2024-12-15
cmp-0073,Campaign 73,user73@example.com,10864,NA,2024-01-15
cmp-0074,Campaign 74,user74@example.com,11001,EU,2024-02-15
cmp-0075,Campaign 75,user75@example.com,11138,APAC,2024-03-15
cmp-0076,Campaign 76,user76@example.com,11275,LATAM,2024-04-15
cmp-0077,Campaign 77,user77@example.com,11412,NA,2024-05-15
cmp-0078,Campaign 78,user78@example.com,11549,EU,2024-06-15
cmp-0079,Campaign 79,user79@example.com,11686,APAC,2024-07-15
cmp-0080,Campaign 80,user80@example.com,11823,LATAM,2024-08-15
cmp-0081,Campaign 81,user81@example.com,11960,NA,2024-09-15
cmp-0082,Campaign 82,user82@example.com,12097,EU,2024-10-15
cmp-0083,Campaign 83,user83@example.com,12234,APAC,2024-11-15
cmp-0084,Campaign 84,alan@example.com,12371,LATAM,2024-12-15
cmp-0085,Campaign 85,user85@example.com,12508,NA,2024-01-15
cmp-0086,Campaign 86,user86@example.com,12645,EU,2024-02-15
cmp-0087,Campaign 87,user87@example.com,12782,APAC,2024-03-15
cmp-0088,Campaign 88,user88@example.com,12919,LATAM,2024-04-15
cmp-0089,Campaign 89,user89@example.com,13056,NA,2024-05-15
cmp-0090,Campaign 90,grace@example.com,13193,EU,2024-06-15
cmp-0091,Campaign 91,user91@example.com,13330,APAC,2024-07-15
cmp-0092,Campaign 92,user92@example.com,13467,LATAM,2024-08-15
cmp-0093,Campaign 93,user93@example.com,13604,NA,2024-09-15
cmp-0094,Campaign 94,user94@example.com,13741,EU,2024-10-15
cmp-0095,Campaign 95,user95@example.com,13878,APAC,2024-11-15
cmp-0096,Campaign 96,user96@example.com,14015,LATAM,2024-12-15
cmp-0097,Campaign 97,user97@example.com,14152,NA,2024-01-15
