lead_id,email,campaign_id,status,score,created_at
L-0001,user12@example.com,cmp-0001,open,0,2024-03-01
L-0002,user13@example.com,cmp-0004,qualified,13,2024-03-02
L-0003,user14@example.com,cmp-0007,won,26,2024-03-03
L-0004,user15@example.com,cmp-0010,lost,39,2024-03-04
L-0005,user16@example.com,cmp-0013,open,52,2024-03-05
L-0006,user17@example.com,cmp-0016,qualified,65,2024-03-06
L-0007,user18@example.com,cmp-0019,won,78,2024-03-07
L-0008,user19@example.com,cmp-0022,lost,91,2024-03-08
L-0009,user20@example.com,cmp-0025,open,4,2024-03-09
L-0010,user21@example.com,cmp-0028,qualified,17,2024-03-10
L-0011,user22@example.com,cmp-0031,won,30,2024-03-11
L-0012,user23@example.com,cmp-0034,lost,43,2024-03-12
L-0013,user24@example.com,cmp-0037,open,56,2024-03-13
L-0014,user25@example.com,cmp-0040,qualified,69,2024-03-14
L-0015,user26@example.com,cmp-0043,won,82,2024-03-15
L-0016,user27@example.com,cmp-0046,lost,95,2024-03-16
L-0017,user28@example.com,cmp-0049,open,8,2024-03-17
L-0018,user29@example.com,cmp-0052,qualified,21,2024-03-18
L-0019,user30@example.com,cmp-0055,won,34,2024-03-19
L-0020,user31@example.com,cmp-0058,lost,47,2024-03-20
L-0021,user32@example.com,cmp-0061,open,60,2024-03-21
L-0022,user33@example.com,cmp-0064,qualified,73,2024-03-22
L-0023,user34@example.com,cmp-0067,won,86,2024-03-23
L-0024,user35@example.com,cmp-0070,lost,99,2024-03-24
L-0025,user36@example.com,cmp-0073,open,12,2024-03-25
L-0026,user37@example.com,cmp-0076,qualified,25,2024-03-26
L-0027,user38@example.com,cmp-0079,won,38,2024-03-27
L-0028,user39@example.com,cmp-0082,lost,51,2024-03-28
L-0029,user40@example.com,cmp-0085,open,64,2024-03-01
L-0030,user41@example.com,cmp-0088,qualified,77,2024-03-02
L-0031,user42@example.com,cmp-0091,won,90,2024-03-03
L-0032,user43@example.com,cmp-0094,lost,3,2024-03-04
L-0033,user44@example.com,cmp-0097,open,16,2024-03-05
L-0034,user45@example.com,cmp-0100,qualified,29,2024-03-06
L-0035,user46@example.com,cmp-0103,won,42,2024-03-07
L-0036,user47@example.com,cmp-0106,lost,55,2024-03-08
L-0037,user48@example.com,cmp-0109,open,68,2024-03-09
L-0038,user49@example.com,cmp-0112,qualified,81,2024-03-10
L-0039,user50@example.com,cmp-0115,won,94,2024-03-11
L-0040,user51@example.com,cmp-0118,lost,7,2024-03-12
L-0041,user52@example.com,cmp-0121,open,20,2024-03-13
L-0042,user53@example.com,cmp-0124,qualified,33,2024-03-14
L-0043,user54@example.com,cmp-0127,won,46,2024-03-15
L-0044,user55@example.com,cmp-0130,lost,59,2024-03-16
L-0045,user56@example.com,cmp-0133,open,72,2024-03-17
L-0046,user57@example.com,cmp-0136,qualified,85,2024-03-18
L-0047,user58@example.com,cmp-0139,won,98,2024-03-19
L-0048,user59@example.com,cmp-0142,lost,11,2024-03-20
L-0049,user60@example.com,cmp-0145,open,24,2024-03-21
L-0050,user61@example.com,cmp-0148,qualified,37,2024-03-22
L-0051,user62@example.com,cmp-0151,won,50,2024-03-23
L-0052,user63@example.com,cmp-0154,lost,63,2024-03-24
L-0053,user64@example.com,cmp-0157,open,76,2024-03-25
L-0054,user65@example.com,cmp-0160,qualified,89,2024-03-26
L-0055,user66@example.com,cmp-0163,won,2,2024-03-27
L-0056,user67@example.com,cmp-0166,lost,15,2024-03-28
L-0057,user68@example.com,cmp-0169,open,28,2024-03-01
L-0058,user69@example.com,cmp-0172,qualified,41,2024-03-02
L-0059,user70@example.com,cmp-0175,won,54,2024-03-03
L-0060,user71@example.com,cmp-0178,lost,67,2024-03-04
L-0061,user72@example.com,cmp-0181,open,80,2024-03-05
L-0062,user73@example.com,cmp-0184,qualified,93,2024-03-06
L-0063,user74@example.com,cmp-0187,won,6,2024-03-07
L-0064,user75@example.com,cmp-0190,lost,19,2024-03-08
L-0065,user76@example.com,cmp-0193,open,32,2024-03-09
L-0066,user77@example.com,cmp-0196,qualified,45,2024-03-10
L-0067,user78@example.com,cmp-0199,won,58,2024-03-11
L-0068,user79@example.com,cmp-0202,lost,71,2024-03-12
L-0069,user80@example.com,cmp-0205,open,84,2024-03-13
L-0070,user81@example.com,cmp-0208,qualified,97,2024-03-14
L-0071,user82@example.com,cmp-0211,won,10,2024-03-15
L-0072,user83@example.com,cmp-0214,lost,23,2024-03-16
L-0073,alan@example.com,cmp-0217,open,36,2024-03-17
L-0074,user85@example.com,cmp-0220,qualified,49,2024-03-18
L-0075,user86@example.com,cmp-0223,won,62,2024-03-19
L-0076,user87@example.com,cmp-0226,lost,75,2024-03-20
L-0077,user88@example.com,cmp-0229,open,88,2024-03-21
L-0078,user89@example.com,cmp-0232,qualified,1,2024-03-22
L-0079,grace@example.com,cmp-0235,won,14,2024-03-23
L-0080,user91@example.com,cmp-0238,lost,27,2024-03-24
L-0081,user92@example.com,cmp-0241,open,40,2024-03-25
L-0082,user93@example.com,cmp-0244,qualified,53,2024-03-26
L-0083,user94@example.com,cmp-0247,won,66,2024-03-27
L-0084,user95@example.com,cmp-0250,lost,79,2024-03-28
L-0085,user96@example.com,cmp-0253,open,92,2024-03-01
L-0086,user97@example.com,cmp-0256,qualified,5,2024-03-02
L-0087,ada@example.com,cmp-0259,won,18,2024-03-03
