touch_id,email,customer_id,channel,campaign_id,touched_at
MT-00001,user30@example.com,30,email,cmp-00001,2024-05-01
MT-00002,user31@example.com,31,ads,cmp-00002,2024-05-02
MT-00003,user32@example.com,32,social,cmp-00003,2024-05-03
MT-00004,user33@example.com,33,partner,cmp-00004,2024-05-04
MT-00005,user34@example.com,34,email,cmp-00005,2024-05-05
MT-00006,user35@example.com,35,ads,cmp-00006,2024-05-06
MT-00007,user36@example.com,36,social,cmp-00007,2024-05-07
MT-00008,user37@example.com,37,partner,cmp-00008,2024-05-08
MT-00009,user38@example.com,38,email,cmp-00009,2024-05-09
MT-00010,user39@example.com,39,ads,cmp-00010,2024-05-10
MT-00011,user40@example.com,40,social,cmp-00011,2024-05-11
MT-00012,user41@example.com,41,partner,cmp-00012,2024-05-12
MT-00013,user42@example.com,42,email,cmp-00013,2024-05-13
MT-00014,user43@example.com,43,ads,cmp-00014,2024-05-14
MT-00015,user44@example.com,44,social,cmp-00015,2024-05-15
MT-00016,user45@example.com,45,partner,cmp-00016,2024-05-16
MT-00017,user46@example.com,46,email,cmp-00017,2024-05-17
MT-00018,user47@example.com,47,ads,cmp-00018,2024-05-18
MT-00019,user48@example.com,48,social,cmp-00019,2024-05-19
MT-00020,user49@example.com,49,partner,cmp-00020,2024-05-20
MT-00021,user50@example.com,50,email,cmp-00021,2024-05-21
MT-00022,user51@example.com,51,ads,cmp-00022,2024-05-22
MT-00023,user52@example.com,52,social,cmp-00023,2024-05-23
MT-00024,user53@example.com,53,partner,cmp-00024,2024-05-24
MT-00025,user54@example.com,54,email,cmp-00025,2024-05-25
MT-00026,user55@example.com,55,ads,cmp-00026,2024-05-26
MT-00027,user56@example.com,56,social,cmp-00027,2024-05-27
MT-00028,user57@example.com,57,partner,cmp-00028,2024-05-28
MT-00029,user58@example.com,58,email,cmp-00029,2024-05-01
MT-00030,user59@example.com,59,ads,cmp-00030,2024-05-02
MT-00031,user60@example.com,60,social,cmp-00031,2024-05-03
MT-00032,user61@example.com,61,partner,cmp-00032,2024-05-04
MT-00033,user62@example.com,62,email,cmp-00033,2024-05-05
MT-00034,user63@example.com,63,ads,cmp-00034,2024-05-06
MT-00035,user64@example.com,64,social,cmp-00035,2024-05-07
MT-00036,user65@example.com,65,partner,cmp-00036,2024-05-08
MT-00037,user66@example.com,66,email,cmp-00037,2024-05-09
MT-00038,user67@example.com,67,ads,cmp-00038,2024-05-10
MT-00039,user68@example.com,68,social,cmp-00039,2024-05-11
MT-00040,user69@example.com,69,partner,cmp-00040,2024-05-12
MT-00041,user70@example.com,70,email,cmp-00041,2024-05-13
MT-00042,user71@example.com,71,ads,cmp-00042,2024-05-14
MT-00043,user72@example.com,72,social,cmp-00043,2024-05-15
MT-00044,user73@example.com,73,partner,cmp-00044,2024-05-16
MT-00045,user74@example.com,74,email,cmp-00045,2024-05-17
MT-00046,user75@example.com,75,ads,cmp-00046,2024-05-18
MT-00047,user76@example.com,76,social,cmp-00047,2024-05-19
MT-00048,user77@example.com,77,partner,cmp-00048,2024-05-20
MT-00049,user78@example.com,78,email,cmp-00049,2024-05-21
MT-00050,user79@example.com,79,ads,cmp-00050,2024-05-22
MT-00051,user80@example.com,80,social,cmp-00051,2024-05-23
MT-00052,user81@example.com,81,partner,cmp-00052,2024-05-24
MT-00053,user82@example.com,82,email,cmp-00053,2024-05-25
MT-00054,user83@example.com,83,ads,cmp-00054,2024-05-26
MT-00055,alan@example.com,84,social,cmp-00055,2024-05-27
MT-00056,user85@example.com,85,partner,cmp-00056,2024-05-28
MT-00057,user86@example.com,86,email,cmp-00057,2024-05-01
MT-00058,user87@example.com,87,ads,cmp-00058,2024-05-02
MT-00059,user88@example.com,88,social,cmp-00059,2024-05-03
MT-00060,user89@example.com,89,partner,cmp-00060,2024-05-04
MT-00061,grace@example.com,90,email,cmp-00061,2024-05-05
MT-00062,user91@example.com,91,ads,cmp-00062,2024-05-06
MT-00063,user92@example.com,92,social,cmp-00063,2024-05-07
MT-00064,user93@example.com,93,partner,cmp-00064,2024-05-08
MT-00065,user94@example.com,94,email,cmp-00065,2024-05-09
MT-00066,user95@example.com,95,ads,cmp-00066,2024-05-10
MT-00067,user96@example.com,96,social,cmp-00067,2024-05-11
MT-00068,user97@example.com,97,partner,cmp-00068,2024-05-12
MT-00069,ada@example.com,98,email,cmp-00069,2024-05-13
MT-00070,user99@example.com,99,ads,cmp-00070,2024-05-14
MT-00071,user100@example.com,100,social,cmp-00071,2024-05-15
MT-00072,user101@example.com,101,partner,cmp-00072,2024-05-16
MT-00073,user102@example.com,102,email,cmp-00073,2024-05-17
MT-00074,user103@example.com,103,ads,cmp-00074,2024-05-18
MT-00075,user104@example.com,104,social,cmp-00075,2024-05-19
MT-00076,user105@example.com,105,partner,cmp-00076,2024-05-20
MT-00077,user106@example.com,106,email,cmp-00077,2024-05-21
MT-00078,user107@example.com,107,ads,cmp-00078,2024-05-22
MT-00079,user108@example.com,108,social,cmp-00079,2024-05-23
MT-00080,user109@example.com,109,partner,cmp-00080,2024-05-24
MT-00081,user110@example.com,110,email,cmp-00081,2024-05-25
MT-00082,user111@example.com,111,ads,cmp-00082,2024-05-26
MT-00083,user112@example.com,112,social,cmp-00083,2024-05-27
MT-00084,user113@example.com,113,partner,cmp-00084,2024-05-28
MT-00085,user114@example.com,114,email,cmp-00085,2024-05-01
MT-00086,user115@example.com,115,ads,cmp-00086,2024-05-02
MT-00087,user116@example.com,116,social,cmp-00087,2024-05-03
MT-00088,user117@example.com,117,partner,cmp-00088,2024-05-04
MT-00089,user118@example.com,118,email,cmp-00089,2024-05-05
MT-00090,user119@example.com,119,ads,cmp-00090,2024-05-06
MT-00091,user120@example.com,120,social,cmp-00091,2024-05-07
MT-00092,user121@example.com,121,partner,cmp-00092,2024-05-08
MT-00093,user122@example.com,122,email,cmp-00093,2024-05-09
MT-00094,user123@example.com,123,ads,cmp-00094,2024-05-10
MT-00095,user124@example.com,124,social,cmp-00095,2024-05-11
MT-00096,user125@example.com,125,partner,cmp-00096,2024-05-12
MT-00097,user126@example.com,126,email,cmp-00097,2024-05-13
MT-00098,user127@example.com,127,ads,cmp-00098,2024-05-14
MT-00099,user128@example.com,128,social,cmp-00099,2024-05-15
MT-00100,user129@example.com,129,partner,cmp-00100,2024-05-16
MT-00101,user130@example.com,130,email,cmp-00101,2024-05-17
MT-00102,user131@example.com,131,ads,cmp-00102,2024-05-18
MT-00103,user132@example.com,132,social,cmp-00103,2024-05-19
MT-00104,user133@example.com,133,partner,cmp-00104,2024-05-20
MT-00105,user134@example.com,134,email,cmp-00105,2024-05-21
MT-00106,user135@example.com,135,ads,cmp-00106,2024-05-22
MT-00107,user136@example.com,136,social,cmp-00107,2024-05-23
MT-00108,user137@example.com,137,partner,cmp-00108,2024-05-24
MT-00109,user138@example.com,138,email,cmp-00109,2024-05-25
MT-00110,user139@example.com,139,ads,cmp-00110,2024-05-26
MT-00111,user140@example.com,140,social,cmp-00111,2024-05-27
MT-00112,user141@example.com,141,partner,cmp-00112,2024-05-28
MT-00113,user142@example.com,142,email,cmp-00113,2024-05-01
MT-00114,user143@example.com,143,ads,cmp-00114,2024-05-02
MT-00115,user144@example.com,144,social,cmp-00115,2024-05-03
MT-00116,user145@example.com,145,partner,cmp-00116,2024-05-04
MT-00117,user146@example.com,146,email,cmp-00117,2024-05-05
MT-00118,user147@example.com,147,ads,cmp-00118,2024-05-06
MT-00119,user148@example.com,148,social,cmp-00119,2024-05-07
MT-00120,user149@example.com,149,partner,cmp-00120,2024-05-08
MT-00121,user150@example.com,150,email,cmp-00121,2024-05-09
MT-00122,user151@example.com,151,ads,cmp-00122,2024-05-10
MT-00123,user152@example.com,152,social,cmp-00123,2024-05-11
MT-00124,user153@example.com,153,partner,cmp-00124,2024-05-12
MT-00125,user154@example.com,154,email,cmp-00125,2024-05-13
MT-00126,user155@example.com,155,ads,cmp-00126,2024-05-14
MT-00127,user156@example.com,156,social,cmp-00127,2024-05-15
MT-00128,user157@example.com,157,partner,cmp-00128,2024-05-16
MT-00129,user158@example.com,158,email,cmp-00129,2024-05-17
MT-00130,user159@example.com,159,ads,cmp-00130,2024-05-18
MT-00131,user160@example.com,160,social,cmp-00131,2024-05-19
MT-00132,user161@example.com,161,partner,cmp-00132,2024-05-20
MT-00133,user162@example.com,162,email,cmp-00133,2024-05-21
MT-00134,user163@example.com,163,ads,cmp-00134,2024-05-22
MT-00135,user164@example.com,164,social,cmp-00135,2024-05-23
MT-00136,user165@example.com,165,partner,cmp-00136,2024-05-24
MT-00137,user166@example.com,166,email,cmp-00137,2024-05-25
MT-00138,alan@example.com,167,ads,cmp-00138,2024-05-26
MT-00139,user168@example.com,168,social,cmp-00139,2024-05-27
MT-00140,user169@example.com,169,partner,cmp-00140,2024-05-28
MT-00141,user170@example.com,170,email,cmp-00141,2024-05-01
MT-00142,user171@example.com,171,ads,cmp-00142,2024-05-02
MT-00143,user172@example.com,172,social,cmp-00143,2024-05-03
MT-00144,user173@example.com,173,partner,cmp-00144,2024-05-04
MT-00145,user174@example.com,174,email,cmp-00145,2024-05-05
MT-00146,user175@example.com,175,ads,cmp-00146,2024-05-06
MT-00147,user176@example.com,176,social,cmp-00147,2024-05-07
MT-00148,user177@example.com,177,partner,cmp-00148,2024-05-08
MT-00149,user178@example.com,178,email,cmp-00149,2024-05-09
MT-00150,grace@example.com,179,ads,cmp-00150,2024-05-10
MT-00151,user180@example.com,180,social,cmp-00151,2024-05-11
MT-00152,user181@example.com,181,partner,cmp-00152,2024-05-12
MT-00153,user182@example.com,182,email,cmp-00153,2024-05-13
MT-00154,user183@example.com,183,ads,cmp-00154,2024-05-14
MT-00155,user184@example.com,184,social,cmp-00155,2024-05-15
MT-00156,user185@example.com,185,partner,cmp-00156,2024-05-16
MT-00157,user186@example.com,186,email,cmp-00157,2024-05-17
MT-00158,user187@example.com,187,ads,cmp-00158,2024-05-18
MT-00159,user188@example.com,188,social,cmp-00159,2024-05-19
MT-00160,user189@example.com,189,partner,cmp-00160,2024-05-20
MT-00161,user190@example.com,190,email,cmp-00161,2024-05-21
MT-00162,user191@example.com,191,ads,cmp-00162,2024-05-22
MT-00163,user192@example.com,192,social,cmp-00163,2024-05-23
MT-00164,user193@example.com,193,partner,cmp-00164,2024-05-24
MT-00165,user194@example.com,194,email,cmp-00165,2024-05-25
MT-00166,ada@example.com,195,ads,cmp-00166,2024-05-26
MT-00167,user196@example.com,196,social,cmp-00167,2024-05-27
MT-00168,user197@example.com,197,partner,cmp-00168,2024-05-28
MT-00169,user198@example.com,198,email,cmp-00169,2024-05-01
MT-00170,user199@example.com,199,ads,cmp-00170,2024-05-02
MT-00171,user200@example.com,200,social,cmp-00171,2024-05-03
MT-00172,user201@example.com,201,partner,cmp-00172,2024-05-04
MT-00173,user202@example.com,202,email,cmp-00173,2024-05-05
MT-00174,user203@example.com,203,ads,cmp-00174,2024-05-06
MT-00175,user204@example.com,204,social,cmp-00175,2024-05-07
MT-00176,user205@example.com,205,partner,cmp-00176,2024-05-08
MT-00177,user206@example.com,206,email,cmp-00177,2024-05-09
MT-00178,user207@example.com,207,ads,cmp-00178,2024-05-10
MT-00179,user208@example.com,208,social,cmp-00179,2024-05-11
MT-00180,user209@example.com,209,partner,cmp-00180,2024-05-12
MT-00181,user210@example.com,210,email,cmp-00181,2024-05-13
MT-00182,user211@example.com,211,ads,cmp-00182,2024-05-14
MT-00183,user212@example.com,212,social,cmp-00183,2024-05-15
MT-00184,user213@example.com,213,partner,cmp-00184,2024-05-16
MT-00185,user214@example.com,214,email,cmp-00185,2024-05-17
MT-00186,user215@example.com,215,ads,cmp-00186,2024-05-18
MT-00187,user216@example.com,216,social,cmp-00187,2024-05-19
MT-00188,user217@example.com,217,partner,cmp-00188,2024-05-20
MT-00189,user218@example.com,218,email,cmp-00189,2024-05-21
MT-00190,user219@example.com,219,ads,cmp-00190,2024-05-22
MT-00191,user220@example.com,220,social,cmp-00191,2024-05-23
MT-00192,user221@example.com,221,partner,cmp-00192,2024-05-24
MT-00193,user222@example.com,222,email,cmp-00193,2024-05-25
MT-00194,user223@example.com,223,ads,cmp-00194,2024-05-26
MT-00195,user224@example.com,224,social,cmp-00195,2024-05-27
MT-00196,user225@example.com,225,partner,cmp-00196,2024-05-28
MT-00197,user226@example.com,226,email,cmp-00197,2024-05-01
MT-00198,user227@example.com,227,ads,cmp-00198,2024-05-02
MT-00199,user228@example.com,228,social,cmp-00199,2024-05-03
MT-00200,user229@example.com,229,partner,cmp-00200,2024-05-04
MT-00201,user230@example.com,230,email,cmp-00201,2024-05-05
MT-00202,user231@example.com,231,ads,cmp-00202,2024-05-06
MT-00203,user232@example.com,232,social,cmp-00203,2024-05-07
MT-00204,user233@example.com,233,partner,cmp-00204,2024-05-08
MT-00205,user234@example.com,234,email,cmp-00205,2024-05-09
MT-00206,user235@example.com,235,ads,cmp-00206,2024-05-10
MT-00207,user236@example.com,236,social,cmp-00207,2024-05-11
MT-00208,user237@example.com,237,partner,cmp-00208,2024-05-12
MT-00209,user238@example.com,238,email,cmp-00209,2024-05-13
MT-00210,user239@example.com,239,ads,cmp-00210,2024-05-14
MT-00211,user240@example.com,240,social,cmp-00211,2024-05-15
MT-00212,user241@example.com,241,partner,cmp-00212,2024-05-16
MT-00213,user242@example.com,242,email,cmp-00213,2024-05-17
MT-00214,user243@example.com,243,ads,cmp-00214,2024-05-18
MT-00215,user244@example.com,244,social,cmp-00215,2024-05-19
MT-00216,user245@example.com,245,partner,cmp-00216,2024-05-20
MT-00217,user246@example.com,246,email,cmp-00217,2024-05-21
MT-00218,user247@example.com,247,ads,cmp-00218,2024-05-22
MT-00219,user248@example.com,248,social,cmp-00219,2024-05-23
MT-00220,user249@example.com,249,partner,cmp-00220,2024-05-24
MT-00221,alan@example.com,250,email,cmp-00221,2024-05-25
MT-00222,user251@example.com,251,ads,cmp-00222,2024-05-26
MT-00223,user252@example.com,252,social,cmp-00223,2024-05-27
MT-00224,user253@example.com,253,partner,cmp-00224,2024-05-28
MT-00225,user254@example.com,254,email,cmp-00225,2024-05-01
MT-00226,user255@example.com,255,ads,cmp-00226,2024-05-02
MT-00227,user256@example.com,256,social,cmp-00227,2024-05-03
MT-00228,user257@example.com,257,partner,cmp-00228,2024-05-04
MT-00229,user258@example.com,258,email,cmp-00229,2024-05-05
MT-00230,user259@example.com,259,ads,cmp-00230,2024-05-06
MT-00231,user260@example.com,260,social,cmp-00231,2024-05-07
MT-00232,user261@example.com,261,partner,cmp-00232,2024-05-08
MT-00233,user262@example.com,262,email,cmp-00233,2024-05-09
MT-00234,user263@example.com,263,ads,cmp-00234,2024-05-10
MT-00235,user264@example.com,264,social,cmp-00235,2024-05-11
MT-00236,user265@example.com,265,partner,cmp-00236,2024-05-12
MT-00237,user266@example.com,266,email,cmp-00237,2024-05-13
MT-00238,user267@example.com,267,ads,cmp-00238,2024-05-14
MT-00239,grace@example.com,268,social,cmp-00239,2024-05-15
MT-00240,user269@example.com,269,partner,cmp-00240,2024-05-16
MT-00241,user270@example.com,270,email,cmp-00241,2024-05-17
MT-00242,user271@example.com,271,ads,cmp-00242,2024-05-18
MT-00243,user272@example.com,272,social,cmp-00243,2024-05-19
MT-00244,user273@example.com,273,partner,cmp-00244,2024-05-20
MT-00245,user274@example.com,274,email,cmp-00245,2024-05-21
MT-00246,user275@example.com,275,ads,cmp-00246,2024-05-22
MT-00247,user276@example.com,276,social,cmp-00247,2024-05-23
MT-00248,user277@example.com,277,partner,cmp-00248,2024-05-24
MT-00249,user278@example.com,278,email,cmp-00249,2024-05-25
MT-00250,user279@example.com,279,ads,cmp-00250,2024-05-26
MT-00251,user280@example.com,280,social,cmp-00251,2024-05-27
MT-00252,user281@example.com,281,partner,cmp-00252,2024-05-28
MT-00253,user282@example.com,282,email,cmp-00253,2024-05-01
MT-00254,user283@example.com,283,ads,cmp-00254,2024-05-02
MT-00255,user284@example.com,284,social,cmp-00255,2024-05-03
MT-00256,user285@example.com,285,partner,cmp-00256,2024-05-04
