refund_id,email,customer_id,invoice_id,amount_usd,reason,status,created_at
RF-00001,user32@example.com,32,INV-00001,1,duplicate,pending,2024-07-01
RF-00002,user33@example.com,33,INV-00002,12,fraud,approved,2024-07-02
RF-00003,user34@example.com,34,INV-00003,23,goodwill,rejected,2024-07-03
RF-00004,user35@example.com,35,INV-00004,34,defect,pending,2024-07-04
RF-00005,user36@example.com,36,INV-00005,45,duplicate,approved,2024-07-05
RF-00006,user37@example.com,37,INV-00006,56,fraud,rejected,2024-07-06
RF-00007,user38@example.com,38,INV-00007,67,goodwill,pending,2024-07-07
RF-00008,user39@example.com,39,INV-00008,78,defect,approved,2024-07-08
RF-00009,user40@example.com,40,INV-00009,89,duplicate,rejected,2024-07-09
RF-00010,user41@example.com,41,INV-00010,100,fraud,pending,2024-07-10
RF-00011,user42@example.com,42,INV-00011,111,goodwill,approved,2024-07-11
RF-00012,user43@example.com,43,INV-00012,122,defect,rejected,2024-07-12
RF-00013,user44@example.com,44,INV-00013,133,duplicate,pending,2024-07-13
RF-00014,user45@example.com,45,INV-00014,144,fraud,approved,2024-07-14
RF-00015,user46@example.com,46,INV-00015,155,goodwill,rejected,2024-07-15
RF-00016,user47@example.com,47,INV-00016,166,defect,pending,2024-07-16
RF-00017,user48@example.com,48,INV-00017,177,duplicate,approved,2024-07-17
RF-00018,user49@example.com,49,INV-00018,188,fraud,rejected,2024-07-18
RF-00019,user50@example.com,50,INV-00019,199,goodwill,pending,2024-07-19
RF-00020,user51@example.com,51,INV-00020,210,defect,approved,2024-07-20
RF-00021,user52@example.com,52,INV-00021,221,duplicate,rejected,2024-07-21
RF-00022,user53@example.com,53,INV-00022,232,fraud,pending,2024-07-22
RF-00023,user54@example.com,54,INV-00023,243,goodwill,approved,2024-07-23
RF-00024,user55@example.com,55,INV-00024,254,defect,rejected,2024-07-24
RF-00025,user56@example.com,56,INV-00025,265,duplicate,pending,2024-07-25
RF-00026,user57@example.com,57,INV-00026,276,fraud,approved,2024-07-26
RF-00027,user58@example.com,58,INV-00027,287,goodwill,rejected,2024-07-27
RF-00028,user59@example.com,59,INV-00028,298,defect,pending,2024-07-28
RF-00029,user60@example.com,60,INV-00029,309,duplicate,approved,2024-07-01
RF-00030,user61@example.com,61,INV-00030,320,fraud,rejected,2024-07-02
RF-00031,user62@example.com,62,INV-00031,331,goodwill,pending,2024-07-03
RF-00032,user63@example.com,63,INV-00032,342,defect,approved,2024-07-04
RF-00033,user64@example.com,64,INV-00033,353,duplicate,rejected,2024-07-05
RF-00034,user65@example.com,65,INV-00034,364,fraud,pending,2024-07-06
RF-00035,user66@example.com,66,INV-00035,375,goodwill,approved,2024-07-07
RF-00036,user67@example.com,67,INV-00036,386,defect,rejected,2024-07-08
RF-00037,user68@example.com,68,INV-00037,397,duplicate,pending,2024-07-09
RF-00038,user69@example.com,69,INV-00038,408,fraud,approved,2024-07-10
RF-00039,user70@example.com,70,INV-00039,419,goodwill,rejected,2024-07-11
RF-00040,user71@example.com,71,INV-00040,430,defect,pending,2024-07-12
RF-00041,user72@example.com,72,INV-00041,441,duplicate,approved,2024-07-13
RF-00042,user73@example.com,73,INV-00042,452,fraud,rejected,2024-07-14
RF-00043,user74@example.com,74,INV-00043,463,goodwill,pending,2024-07-15
RF-00044,user75@example.com,75,INV-00044,474,defect,approved,2024-07-16
RF-00045,user76@example.com,76,INV-00045,485,duplicate,rejected,2024-07-17
RF-00046,user77@example.com,77,INV-00046,496,fraud,pending,2024-07-18
RF-00047,user78@example.com,78,INV-00047,7,goodwill,approved,2024-07-19
RF-00048,user79@example.com,79,INV-00048,18,defect,rejected,2024-07-20
RF-00049,user80@example.com,80,INV-00049,29,duplicate,pending,2024-07-21
RF-00050,user81@example.com,81,INV-00050,40,fraud,approved,2024-07-22
RF-00051,user82@example.com,82,INV-00051,51,goodwill,rejected,2024-07-23
RF-00052,user83@example.com,83,INV-00052,62,defect,pending,2024-07-24
RF-00053,alan@example.com,84,INV-00053,73,duplicate,approved,2024-07-25
RF-00054,user85@example.com,85,INV-00054,84,fraud,rejected,2024-07-26
RF-00055,user86@example.com,86,INV-00055,95,goodwill,pending,2024-07-27
RF-00056,user87@example.com,87,INV-00056,106,defect,approved,2024-07-28
RF-00057,user88@example.com,88,INV-00057,117,duplicate,rejected,2024-07-01
RF-00058,user89@example.com,89,INV-00058,128,fraud,pending,2024-07-02
RF-00059,grace@example.com,90,INV-00059,139,goodwill,approved,2024-07-03
RF-00060,user91@example.com,91,INV-00060,150,defect,rejected,2024-07-04
RF-00061,user92@example.com,92,INV-00061,161,duplicate,pending,2024-07-05
RF-00062,user93@example.com,93,INV-00062,172,fraud,approved,2024-07-06
RF-00063,user94@example.com,94,INV-00063,183,goodwill,rejected,2024-07-07
RF-00064,user95@example.com,95,INV-00064,194,defect,pending,2024-07-08
RF-00065,user96@example.com,96,INV-00065,205,duplicate,approved,2024-07-09
RF-00066,user97@example.com,97,INV-00066,216,fraud,rejected,2024-07-10
RF-00067,ada@example.com,98,INV-00067,227,goodwill,pending,2024-07-11
RF-00068,user99@example.com,99,INV-00068,238,defect,approved,2024-07-12
RF-00069,user100@example.com,100,INV-00069,249,duplicate,rejected,2024-07-13
RF-00070,user101@example.com,101,INV-00070,260,fraud,pending,2024-07-14
RF-00071,user102@example.com,102,INV-00071,271,goodwill,approved,2024-07-15
RF-00072,user103@example.com,103,INV-00072,282,defect,rejected,2024-07-16
RF-00073,user104@example.com,104,INV-00073,293,duplicate,pending,2024-07-17
RF-00074,user105@example.com,105,INV-00074,304,fraud,approved,2024-07-18
RF-00075,user106@example.com,106,INV-00075,315,goodwill,rejected,2024-07-19
RF-00076,user107@example.com,107,INV-00076,326,defect,pending,2024-07-20
RF-00077,user108@example.com,108,INV-00077,337,duplicate,approved,2024-07-21
RF-00078,user109@example.com,109,INV-00078,348,fraud,rejected,2024-07-22
RF-00079,user110@example.com,110,INV-00079,359,goodwill,pending,2024-07-23
RF-00080,user111@example.com,111,INV-00080,370,defect,approved,2024-07-24
RF-00081,user112@example.com,112,INV-00081,381,duplicate,rejected,2024-07-25
RF-00082,user113@example.com,113,INV-00082,392,fraud,pending,2024-07-26
RF-00083,user114@example.com,114,INV-00083,403,goodwill,approved,2024-07-27
RF-00084,user115@example.com,115,INV-00084,414,defect,rejected,2024-07-28
RF-00085,user116@example.com,116,INV-00085,425,duplicate,pending,2024-07-01
RF-00086,user117@example.com,117,INV-00086,436,fraud,approved,2024-07-02
RF-00087,user118@example.com,118,INV-00087,447,goodwill,rejected,2024-07-03
