device_id,email,customer_id,os,os_version,app_version,manufacturer,model,push_enabled,locale,timezone,last_seen,battery_pct,network,rooted
DEV-00001,user14@example.com,14,ios,10.0,1.0.0,Apple,Model-1,true,en-US,UTC,2024-08-01,0,wifi,true
DEV-00002,user15@example.com,15,android,11.1,1.1.1,Samsung,Model-2,false,en-GB,America/New_York,2024-08-02,7,cellular,false
DEV-00003,user16@example.com,16,windows,12.2,1.2.2,Google,Model-3,true,de-DE,Europe/London,2024-08-03,14,ethernet,false
DEV-00004,user17@example.com,17,macos,13.3,1.3.3,Dell,Model-4,false,fr-FR,Asia/Kolkata,2024-08-04,21,wifi,false
DEV-00005,user18@example.com,18,linux,14.4,1.4.4,Lenovo,Model-5,true,hi-IN,UTC,2024-08-05,28,cellular,false
DEV-00006,user19@example.com,19,ios,10.5,1.5.0,Apple,Model-6,false,en-US,America/New_York,2024-08-06,35,ethernet,false
DEV-00007,user20@example.com,20,android,11.6,1.6.1,Samsung,Model-7,true,en-GB,Europe/London,2024-08-07,42,wifi,false
DEV-00008,user21@example.com,21,windows,12.7,1.7.2,Google,Model-8,false,de-DE,Asia/Kolkata,2024-08-08,49,cellular,false
DEV-00009,user22@example.com,22,macos,13.8,1.8.3,Dell,Model-9,true,fr-FR,UTC,2024-08-09,56,ethernet,false
DEV-00010,user23@example.com,23,linux,14.0,1.0.4,Lenovo,Model-10,false,hi-IN,America/New_York,2024-08-10,63,wifi,false
DEV-00011,user24@example.com,24,ios,10.1,1.1.0,Apple,Model-11,true,en-US,Europe/London,2024-08-11,70,cellular,false
DEV-00012,user25@example.com,25,android,11.2,1.2.1,Samsung,Model-12,false,en-GB,Asia/Kolkata,2024-08-12,77,ethernet,false
DEV-00013,user26@example.com,26,windows,12.3,1.3.2,Google,Model-13,true,de-DE,UTC,2024-08-13,84,wifi,false
DEV-00014,user27@example.com,27,macos,13.4,1.4.3,Dell,Model-14,false,fr-FR,America/New_York,2024-08-14,91,cellular,false
DEV-00015,user28@example.com,28,linux,14.5,1.5.4,Lenovo,Model-15,true,hi-IN,Europe/London,2024-08-15,98,ethernet,false
DEV-00016,user29@example.com,29,ios,10.6,1.6.0,Apple,Model-16,false,en-US,Asia/Kolkata,2024-08-16,5,wifi,false
DEV-00017,user30@example.com,30,android,11.7,1.7.1,Samsung,Model-17,true,en-GB,UTC,2024-08-17,12,cellular,false
DEV-00018,user31@example.com,31,windows,12.8,1.8.2,Google,Model-18,false,de-DE,America/New_York,2024-08-18,19,ethernet,false
DEV-00019,user32@example.com,32,macos,13.0,1.0.3,Dell,Model-19,true,fr-FR,Europe/London,2024-08-19,26,wifi,false
DEV-00020,user33@example.com,33,linux,14.1,1.1.4,Lenovo,Model-20,false,hi-IN,Asia/Kolkata,2024-08-20,33,cellular,false
DEV-00021,user34@example.com,34,ios,10.2,1.2.0,Apple,Model-21,true,en-US,UTC,2024-08-21,40,ethernet,false
DEV-00022,user35@example.com,35,android,11.3,1.3.1,Samsung,Model-22,false,en-GB,America/New_York,2024-08-22,47,wifi,false
DEV-00023,user36@example.com,36,windows,12.4,1.4.2,Google,Model-23,true,de-DE,Europe/London,2024-08-23,54,cellular,false
DEV-00024,user37@example.com,37,macos,13.5,1.5.3,Dell,Model-24,false,fr-FR,Asia/Kolkata,2024-08-24,61,ethernet,true
DEV-00025,user38@example.com,38,linux,14.6,1.6.4,Lenovo,Model-25,true,hi-IN,UTC,2024-08-25,68,wifi,false
DEV-00026,user39@example.com,39,ios,10.7,1.7.0,Apple,Model-26,false,en-US,America/New_York,2024-08-26,75,cellular,false
DEV-00027,user40@example.com,40,android,11.8,1.8.1,Samsung,Model-27,true,en-GB,Europe/London,2024-08-27,82,ethernet,false
DEV-00028,user41@example.com,41,windows,12.0,1.0.2,Google,Model-28,false,de-DE,Asia/Kolkata,2024-08-28,89,wifi,false
DEV-00029,user42@example.com,42,macos,13.1,1.1.3,Dell,Model-29,true,fr-FR,UTC,2024-08-01,96,cellular,false
DEV-00030,user43@example.com,43,linux,14.2,1.2.4,Lenovo,Model-30,false,hi-IN,America/New_York,2024-08-02,3,ethernet,false
DEV-00031,user44@example.com,44,ios,10.3,1.3.0,Apple,Model-31,true,en-US,Europe/London,2024-08-03,10,wifi,false
DEV-00032,user45@example.com,45,android,11.4,1.4.1,Samsung,Model-32,false,en-GB,Asia/Kolkata,2024-08-04,17,cellular,false
DEV-00033,user46@example.com,46,windows,12.5,1.5.2,Google,Model-33,true,de-DE,UTC,2024-08-05,24,ethernet,false
DEV-00034,user47@example.com,47,macos,13.6,1.6.3,Dell,Model-34,false,fr-FR,America/New_York,2024-08-06,31,wifi,false
DEV-00035,user48@example.com,48,linux,14.7,1.7.4,Lenovo,Model-35,true,hi-IN,Europe/London,2024-08-07,38,cellular,false
DEV-00036,user49@example.com,49,ios,10.8,1.8.0,Apple,Model-36,false,en-US,Asia/Kolkata,2024-08-08,45,ethernet,false
DEV-00037,user50@example.com,50,android,11.0,1.0.1,Samsung,Model-37,true,en-GB,UTC,2024-08-09,52,wifi,false
DEV-00038,user51@example.com,51,windows,12.1,1.1.2,Google,Model-38,false,de-DE,America/New_York,2024-08-10,59,cellular,false
DEV-00039,user52@example.com,52,macos,13.2,1.2.3,Dell,Model-39,true,fr-FR,Europe/London,2024-08-11,66,ethernet,false
DEV-00040,user53@example.com,53,linux,14.3,1.3.4,Lenovo,Model-40,false,hi-IN,Asia/Kolkata,2024-08-12,73,wifi,false
DEV-00041,user54@example.com,54,ios,10.4,1.4.0,Apple,Model-1,true,en-US,UTC,2024-08-13,80,cellular,false
DEV-00042,user55@example.com,55,android,11.5,1.5.1,Samsung,Model-2,false,en-GB,America/New_York,2024-08-14,87,ethernet,false
DEV-00043,user56@example.com,56,windows,12.6,1.6.2,Google,Model-3,true,de-DE,Europe/London,2024-08-15,94,wifi,false
DEV-00044,user57@example.com,57,macos,13.7,1.7.3,Dell,Model-4,false,fr-FR,Asia/Kolkata,2024-08-16,1,cellular,false
DEV-00045,user58@example.com,58,linux,14.8,1.8.4,Lenovo,Model-5,true,hi-IN,UTC,2024-08-17,8,ethernet,false
DEV-00046,user59@example.com,59,ios,10.0,1.0.0,Apple,Model-6,false,en-US,America/New_York,2024-08-18,15,wifi,false
DEV-00047,user60@example.com,60,android,11.1,1.1.1,Samsung,Model-7,true,en-GB,Europe/London,2024-08-19,22,cellular,true
DEV-00048,user61@example.com,61,windows,12.2,1.2.2,Google,Model-8,false,de-DE,Asia/Kolkata,2024-08-20,29,ethernet,false
DEV-00049,user62@example.com,62,macos,13.3,1.3.3,Dell,Model-9,true,fr-FR,UTC,2024-08-21,36,wifi,false
DEV-00050,user63@example.com,63,linux,14.4,1.4.4,Lenovo,Model-10,false,hi-IN,America/New_York,2024-08-22,43,cellular,false
DEV-00051,user64@example.com,64,ios,10.5,1.5.0,Apple,Model-11,true,en-US,Europe/London,2024-08-23,50,ethernet,false
DEV-00052,user65@example.com,65,android,11.6,1.6.1,Samsung,Model-12,false,en-GB,Asia/Kolkata,2024-08-24,57,wifi,false
DEV-00053,user66@example.com,66,windows,12.7,1.7.2,Google,Model-13,true,de-DE,UTC,2024-08-25,64,cellular,false
DEV-00054,user67@example.com,67,macos,13.8,1.8.3,Dell,Model-14,false,fr-FR,America/New_York,2024-08-26,71,ethernet,false
DEV-00055,user68@example.com,68,linux,14.0,1.0.4,Lenovo,Model-15,true,hi-IN,Europe/London,2024-08-27,78,wifi,false
DEV-00056,user69@example.com,69,ios,10.1,1.1.0,Apple,Model-16,false,en-US,Asia/Kolkata,2024-08-28,85,cellular,false
DEV-00057,user70@example.com,70,android,11.2,1.2.1,Samsung,Model-17,true,en-GB,UTC,2024-08-01,92,ethernet,false
DEV-00058,user71@example.com,71,windows,12.3,1.3.2,Google,Model-18,false,de-DE,America/New_York,2024-08-02,99,wifi,false
DEV-00059,user72@example.com,72,macos,13.4,1.4.3,Dell,Model-19,true,fr-FR,Europe/London,2024-08-03,6,cellular,false
DEV-00060,user73@example.com,73,linux,14.5,1.5.4,Lenovo,Model-20,false,hi-IN,Asia/Kolkata,2024-08-04,13,ethernet,false
DEV-00061,user74@example.com,74,ios,10.6,1.6.0,Apple,Model-21,true,en-US,UTC,2024-08-05,20,wifi,false
DEV-00062,user75@example.com,75,android,11.7,1.7.1,Samsung,Model-22,false,en-GB,America/New_York,2024-08-06,27,cellular,false
DEV-00063,user76@example.com,76,windows,12.8,1.8.2,Google,Model-23,true,de-DE,Europe/London,2024-08-07,34,ethernet,false
DEV-00064,user77@example.com,77,macos,13.0,1.0.3,Dell,Model-24,false,fr-FR,Asia/Kolkata,2024-08-08,41,wifi,false
DEV-00065,user78@example.com,78,linux,14.1,1.1.4,Lenovo,Model-25,true,hi-IN,UTC,2024-08-09,48,cellular,false
DEV-00066,user79@example.com,79,ios,10.2,1.2.0,Apple,Model-26,false,en-US,America/New_York,2024-08-10,55,ethernet,false
DEV-00067,user80@example.com,80,android,11.3,1.3.1,Samsung,Model-27,true,en-GB,Europe/London,2024-08-11,62,wifi,false
DEV-00068,user81@example.com,81,windows,12.4,1.4.2,Google,Model-28,false,de-DE,Asia/Kolkata,2024-08-12,69,cellular,false
DEV-00069,user82@example.com,82,macos,13.5,1.5.3,Dell,Model-29,true,fr-FR,UTC,2024-08-13,76,ethernet,false
DEV-00070,user83@example.com,83,linux,14.6,1.6.4,Lenovo,Model-30,false,hi-IN,America/New_York,2024-08-14,83,wifi,true
DEV-00071,alan@example.com,84,ios,10.7,1.7.0,Apple,Model-31,true,en-US,Europe/London,2024-08-15,90,cellular,false
DEV-00072,user85@example.com,85,android,11.8,1.8.1,Samsung,Model-32,false,en-GB,Asia/Kolkata,2024-08-16,97,ethernet,false
DEV-00073,user86@example.com,86,windows,12.0,1.0.2,Google,Model-33,true,de-DE,UTC,2024-08-17,4,wifi,false
DEV-00074,user87@example.com,87,macos,13.1,1.1.3,Dell,Model-34,false,fr-FR,America/New_York,2024-08-18,11,cellular,false
DEV-00075,user88@example.com,88,linux,14.2,1.2.4,Lenovo,Model-35,true,hi-IN,Europe/London,2024-08-19,18,ethernet,false
DEV-00076,user89@example.com,89,ios,10.3,1.3.0,Apple,Model-36,false,en-US,Asia/Kolkata,2024-08-20,25,wifi,false
DEV-00077,grace@example.com,90,android,11.4,1.4.1,Samsung,Model-37,true,en-GB,UTC,2024-08-21,32,cellular,false
DEV-00078,user91@example.com,91,windows,12.5,1.5.2,Google,Model-38,false,de-DE,America/New_York,2024-08-22,39,ethernet,false
DEV-00079,user92@example.com,92,macos,13.6,1.6.3,Dell,Model-39,true,fr-FR,Europe/London,2024-08-23,46,wifi,false
DEV-00080,user93@example.com,93,linux,14.7,1.7.4,Lenovo,Model-40,false,hi-IN,Asia/Kolkata,2024-08-24,53,cellular,false
DEV-00081,user94@example.com,94,ios,10.8,1.8.0,Apple,Model-1,true,en-US,UTC,2024-08-25,60,ethernet,false
DEV-00082,user95@example.com,95,android,11.0,1.0.1,Samsung,Model-2,false,en-GB,America/New_York,2024-08-26,67,wifi,false
DEV-00083,user96@example.com,96,windows,12.1,1.1.2,Google,Model-3,true,de-DE,Europe/London,2024-08-27,74,cellular,false
DEV-00084,user97@example.com,97,macos,13.2,1.2.3,Dell,Model-4,false,fr-FR,Asia/Kolkata,2024-08-28,81,ethernet,false
DEV-00085,ada@example.com,98,linux,14.3,1.3.4,Lenovo,Model-5,true,hi-IN,UTC,2024-08-01,88,wifi,false
DEV-00086,user99@example.com,99,ios,10.4,1.4.0,Apple,Model-6,false,en-US,America/New_York,2024-08-02,95,cellular,false
DEV-00087,user100@example.com,100,android,11.5,1.5.1,Samsung,Model-7,true,en-GB,Europe/London,2024-08-03,2,ethernet,false
DEV-00088,user101@example.com,101,windows,12.6,1.6.2,Google,Model-8,false,de-DE,Asia/Kolkata,2024-08-04,9,wifi,false
DEV-00089,user102@example.com,102,macos,13.7,1.7.3,Dell,Model-9,true,fr-FR,UTC,2024-08-05,16,cellular,false
DEV-00090,user103@example.com,103,linux,14.8,1.8.4,Lenovo,Model-10,false,hi-IN,America/New_York,2024-08-06,23,ethernet,false
DEV-00091,user104@example.com,104,ios,10.0,1.0.0,Apple,Model-11,true,en-US,Europe/London,2024-08-07,30,wifi,false
DEV-00092,user105@example.com,105,android,11.1,1.1.1,Samsung,Model-12,false,en-GB,Asia/Kolkata,2024-08-08,37,cellular,false
DEV-00093,user106@example.com,106,windows,12.2,1.2.2,Google,Model-13,true,de-DE,UTC,2024-08-09,44,ethernet,true
DEV-00094,user107@example.com,107,macos,13.3,1.3.3,Dell,Model-14,false,fr-FR,America/New_York,2024-08-10,51,wifi,false
DEV-00095,user108@example.com,108,linux,14.4,1.4.4,Lenovo,Model-15,true,hi-IN,Europe/London,2024-08-11,58,cellular,false
DEV-00096,user109@example.com,109,ios,10.5,1.5.0,Apple,Model-16,false,en-US,Asia/Kolkata,2024-08-12,65,ethernet,false
DEV-00097,user110@example.com,110,android,11.6,1.6.1,Samsung,Model-17,true,en-GB,UTC,2024-08-13,72,wifi,false
DEV-00098,user111@example.com,111,windows,12.7,1.7.2,Google,Model-18,false,de-DE,America/New_York,2024-08-14,79,cellular,false
DEV-00099,user112@example.com,112,macos,13.8,1.8.3,Dell,Model-19,true,fr-FR,Europe/London,2024-08-15,86,ethernet,false
DEV-00100,user113@example.com,113,linux,14.0,1.0.4,Lenovo,Model-20,false,hi-IN,Asia/Kolkata,2024-08-16,93,wifi,false
DEV-00101,user114@example.com,114,ios,10.1,1.1.0,Apple,Model-21,true,en-US,UTC,2024-08-17,0,cellular,false
DEV-00102,user115@example.com,115,android,11.2,1.2.1,Samsung,Model-22,false,en-GB,America/New_York,2024-08-18,7,ethernet,false
DEV-00103,user116@example.com,116,windows,12.3,1.3.2,Google,Model-23,true,de-DE,Europe/London,2024-08-19,14,wifi,false
DEV-00104,user117@example.com,117,macos,13.4,1.4.3,Dell,Model-24,false,fr-FR,Asia/Kolkata,2024-08-20,21,cellular,false
DEV-00105,user118@example.com,118,linux,14.5,1.5.4,Lenovo,Model-25,true,hi-IN,UTC,2024-08-21,28,ethernet,false
DEV-00106,user119@example.com,119,ios,10.6,1.6.0,Apple,Model-26,false,en-US,America/New_York,2024-08-22,35,wifi,false
DEV-00107,user120@example.com,120,android,11.7,1.7.1,Samsung,Model-27,true,en-GB,Europe/London,2024-08-23,42,cellular,false
DEV-00108,user121@example.com,121,windows,12.8,1.8.2,Google,Model-28,false,de-DE,Asia/Kolkata,2024-08-24,49,ethernet,false
