lead_id,email,customer_id,campaign_id,brand_code,status,score,created_at
LEAD-000001,user12@example.com,12,CMP-00001,PUMA,open,0,2024-03-01
LEAD-000002,user13@example.com,13,CMP-00004,NIKE,qualified,13,2024-03-02
LEAD-000003,user14@example.com,14,CMP-00007,PUMA,won,26,2024-03-03
LEAD-000004,user15@example.com,15,CMP-00010,NIKE,lost,39,2024-03-04
LEAD-000005,user16@example.com,16,CMP-00013,PUMA,open,52,2024-03-05
LEAD-000006,user17@example.com,17,CMP-00016,NIKE,qualified,65,2024-03-06
LEAD-000007,user18@example.com,18,CMP-00019,PUMA,won,78,2024-03-07
LEAD-000008,user19@example.com,19,CMP-00022,NIKE,lost,91,2024-03-08
LEAD-000009,user20@example.com,20,CMP-00025,PUMA,open,4,2024-03-09
LEAD-000010,user21@example.com,21,CMP-00028,NIKE,qualified,17,2024-03-10
LEAD-000011,user22@example.com,22,CMP-00031,PUMA,won,30,2024-03-11
LEAD-000012,user23@example.com,23,CMP-00034,NIKE,lost,43,2024-03-12
LEAD-000013,user24@example.com,24,CMP-00037,PUMA,open,56,2024-03-13
LEAD-000014,user25@example.com,25,CMP-00040,NIKE,qualified,69,2024-03-14
LEAD-000015,user26@example.com,26,CMP-00043,PUMA,won,82,2024-03-15
LEAD-000016,user27@example.com,27,CMP-00046,NIKE,lost,95,2024-03-16
LEAD-000017,user28@example.com,28,CMP-00049,PUMA,open,8,2024-03-17
LEAD-000018,user29@example.com,29,CMP-00052,NIKE,qualified,21,2024-03-18
LEAD-000019,user30@example.com,30,CMP-00055,PUMA,won,34,2024-03-19
LEAD-000020,user31@example.com,31,CMP-00058,NIKE,lost,47,2024-03-20
LEAD-000021,user32@example.com,32,CMP-00061,PUMA,open,60,2024-03-21
LEAD-000022,user33@example.com,33,CMP-00064,NIKE,qualified,73,2024-03-22
LEAD-000023,user34@example.com,34,CMP-00067,PUMA,won,86,2024-03-23
LEAD-000024,user35@example.com,35,CMP-00070,NIKE,lost,99,2024-03-24
LEAD-000025,user36@example.com,36,CMP-00073,PUMA,open,12,2024-03-25
LEAD-000026,user37@example.com,37,CMP-00076,NIKE,qualified,25,2024-03-26
LEAD-000027,user38@example.com,38,CMP-00079,PUMA,won,38,2024-03-27
LEAD-000028,user39@example.com,39,CMP-00082,NIKE,lost,51,2024-03-28
LEAD-000029,user40@example.com,40,CMP-00085,PUMA,open,64,2024-03-01
LEAD-000030,user41@example.com,41,CMP-00088,NIKE,qualified,77,2024-03-02
LEAD-000031,user42@example.com,42,CMP-00091,PUMA,won,90,2024-03-03
LEAD-000032,user43@example.com,43,CMP-00094,NIKE,lost,3,2024-03-04
LEAD-000033,user44@example.com,44,CMP-00097,PUMA,open,16,2024-03-05
LEAD-000034,user45@example.com,45,CMP-00100,NIKE,qualified,29,2024-03-06
LEAD-000035,user46@example.com,46,CMP-00103,PUMA,won,42,2024-03-07
LEAD-000036,user47@example.com,47,CMP-00106,NIKE,lost,55,2024-03-08
LEAD-000037,user48@example.com,48,CMP-00109,PUMA,open,68,2024-03-09
LEAD-000038,user49@example.com,49,CMP-00112,NIKE,qualified,81,2024-03-10
LEAD-000039,user50@example.com,50,CMP-00115,PUMA,won,94,2024-03-11
LEAD-000040,user51@example.com,51,CMP-00118,NIKE,lost,7,2024-03-12
LEAD-000041,user52@example.com,52,CMP-00121,PUMA,open,20,2024-03-13
LEAD-000042,user53@example.com,53,CMP-00124,NIKE,qualified,33,2024-03-14
LEAD-000043,user54@example.com,54,CMP-00127,PUMA,won,46,2024-03-15
LEAD-000044,user55@example.com,55,CMP-00130,NIKE,lost,59,2024-03-16
LEAD-000045,user56@example.com,56,CMP-00133,PUMA,open,72,2024-03-17
LEAD-000046,user57@example.com,57,CMP-00136,NIKE,qualified,85,2024-03-18
LEAD-000047,user58@example.com,58,CMP-00139,PUMA,won,98,2024-03-19
LEAD-000048,user59@example.com,59,CMP-00142,NIKE,lost,11,2024-03-20
LEAD-000049,user60@example.com,60,CMP-00145,PUMA,open,24,2024-03-21
LEAD-000050,user61@example.com,61,CMP-00148,NIKE,qualified,37,2024-03-22
LEAD-000051,user62@example.com,62,CMP-00151,PUMA,won,50,2024-03-23
LEAD-000052,user63@example.com,63,CMP-00154,NIKE,lost,63,2024-03-24
LEAD-000053,user64@example.com,64,CMP-00157,PUMA,open,76,2024-03-25
LEAD-000054,user65@example.com,65,CMP-00160,NIKE,qualified,89,2024-03-26
LEAD-000055,user66@example.com,66,CMP-00163,PUMA,won,2,2024-03-27
LEAD-000056,user67@example.com,67,CMP-00166,NIKE,lost,15,2024-03-28
LEAD-000057,user68@example.com,68,CMP-00169,PUMA,open,28,2024-03-01
LEAD-000058,user69@example.com,69,CMP-00172,NIKE,qualified,41,2024-03-02
LEAD-000059,user70@example.com,70,CMP-00175,PUMA,won,54,2024-03-03
LEAD-000060,user71@example.com,71,CMP-00178,NIKE,lost,67,2024-03-04
LEAD-000061,user72@example.com,72,CMP-00181,PUMA,open,80,2024-03-05
LEAD-000062,user73@example.com,73,CMP-00184,NIKE,qualified,93,2024-03-06
LEAD-000063,user74@example.com,74,CMP-00187,PUMA,won,6,2024-03-07
LEAD-000064,user75@example.com,75,CMP-00190,NIKE,lost,19,2024-03-08
LEAD-000065,user76@example.com,76,CMP-00193,PUMA,open,32,2024-03-09
LEAD-000066,user77@example.com,77,CMP-00196,NIKE,qualified,45,2024-03-10
LEAD-000067,user78@example.com,78,CMP-00199,PUMA,won,58,2024-03-11
LEAD-000068,user79@example.com,79,CMP-00202,NIKE,lost,71,2024-03-12
LEAD-000069,user80@example.com,80,CMP-00205,PUMA,open,84,2024-03-13
LEAD-000070,user81@example.com,81,CMP-00208,NIKE,qualified,97,2024-03-14
LEAD-000071,user82@example.com,82,CMP-00211,PUMA,won,10,2024-03-15
LEAD-000072,user83@example.com,83,CMP-00214,NIKE,lost,23,2024-03-16
LEAD-000073,user84@example.com,84,CMP-00217,PUMA,open,36,2024-03-17
LEAD-000074,user85@example.com,85,CMP-00220,NIKE,qualified,49,2024-03-18
LEAD-000075,user86@example.com,86,CMP-00223,PUMA,won,62,2024-03-19
LEAD-000076,user87@example.com,87,CMP-00226,NIKE,lost,75,2024-03-20
LEAD-000077,user88@example.com,88,CMP-00229,PUMA,open,88,2024-03-21
LEAD-000078,user89@example.com,89,CMP-00232,NIKE,qualified,1,2024-03-22
LEAD-000079,user90@example.com,90,CMP-00235,PUMA,won,14,2024-03-23
LEAD-000080,user91@example.com,91,CMP-00238,NIKE,lost,27,2024-03-24
LEAD-000081,user92@example.com,92,CMP-00241,PUMA,open,40,2024-03-25
LEAD-000082,user93@example.com,93,CMP-00244,NIKE,qualified,53,2024-03-26
LEAD-000083,user94@example.com,94,CMP-00247,PUMA,won,66,2024-03-27
LEAD-000084,user95@example.com,95,CMP-00250,NIKE,lost,79,2024-03-28
LEAD-000085,user96@example.com,96,CMP-00253,PUMA,open,92,2024-03-01
LEAD-000086,user97@example.com,97,CMP-00256,NIKE,qualified,5,2024-03-02
LEAD-000087,user98@example.com,98,CMP-00259,PUMA,won,18,2024-03-03
LEAD-000088,user99@example.com,99,CMP-00262,NIKE,lost,31,2024-03-04
LEAD-000089,user100@example.com,100,CMP-00265,PUMA,open,44,2024-03-05
LEAD-000090,user101@example.com,101,CMP-00268,NIKE,qualified,57,2024-03-06
LEAD-000091,user102@example.com,102,CMP-00271,PUMA,won,70,2024-03-07
LEAD-000092,user103@example.com,103,CMP-00274,NIKE,lost,83,2024-03-08
LEAD-000093,user104@example.com,104,CMP-00277,PUMA,open,96,2024-03-09
LEAD-000094,user105@example.com,105,CMP-00280,NIKE,qualified,9,2024-03-10
LEAD-000095,user106@example.com,106,CMP-00283,PUMA,won,22,2024-03-11
LEAD-000096,user107@example.com,107,CMP-00286,NIKE,lost,35,2024-03-12
LEAD-000097,user108@example.com,108,CMP-00289,PUMA,open,48,2024-03-13
LEAD-000098,user109@example.com,109,CMP-00292,NIKE,qualified,61,2024-03-14
LEAD-000099,user110@example.com,110,CMP-00295,PUMA,won,74,2024-03-15
LEAD-000100,user111@example.com,111,CMP-00298,NIKE,lost,87,2024-03-16
LEAD-000101,user112@example.com,112,CMP-00301,PUMA,open,0,2024-03-17
LEAD-000102,user113@example.com,113,CMP-00304,NIKE,qualified,13,2024-03-18
LEAD-000103,user114@example.com,114,CMP-00307,PUMA,won,26,2024-03-19
LEAD-000104,user115@example.com,115,CMP-00310,NIKE,lost,39,2024-03-20
LEAD-000105,user116@example.com,116,CMP-00313,PUMA,open,52,2024-03-21
LEAD-000106,user117@example.com,117,CMP-00316,NIKE,qualified,65,2024-03-22
LEAD-000107,user118@example.com,118,CMP-00319,PUMA,won,78,2024-03-23
LEAD-000108,user119@example.com,119,CMP-00322,NIKE,lost,91,2024-03-24
LEAD-000109,user120@example.com,120,CMP-00325,PUMA,open,4,2024-03-25
LEAD-000110,user121@example.com,121,CMP-00328,NIKE,qualified,17,2024-03-26
LEAD-000111,user122@example.com,122,CMP-00331,PUMA,won,30,2024-03-27
LEAD-000112,user123@example.com,123,CMP-00334,NIKE,lost,43,2024-03-28
LEAD-000113,user124@example.com,124,CMP-00337,PUMA,open,56,2024-03-01
LEAD-000114,user125@example.com,125,CMP-00340,NIKE,qualified,69,2024-03-02
LEAD-000115,user126@example.com,126,CMP-00343,PUMA,won,82,2024-03-03
LEAD-000116,user127@example.com,127,CMP-00346,NIKE,lost,95,2024-03-04
LEAD-000117,user128@example.com,128,CMP-00349,PUMA,open,8,2024-03-05
