event_id,session_id,customer_id,email,event_type,sku,brand_code,event_at,region_code
EVT-0000001,SES-000001,1,ada@example.com,view,PUMA-SKU-00001,PUMA,2024-06-01T12:00:00Z,IN-WEST
EVT-0000002,SES-000002,2,grace@example.com,add_to_cart,NIKE-SKU-00002,NIKE,2024-06-02T12:00:00Z,IN-NORTH
EVT-0000003,SES-000003,3,alan@example.com,checkout,PUMA-SKU-00003,PUMA,2024-06-03T12:00:00Z,IN-SOUTH
EVT-0000004,SES-000004,4,user4@example.com,purchase,NIKE-SKU-00004,NIKE,2024-06-04T12:00:00Z,IN-EAST
EVT-0000005,SES-000005,5,user5@example.com,view,PUMA-SKU-00005,PUMA,2024-06-05T12:00:00Z,IN-WEST
EVT-0000006,SES-000006,6,user6@example.com,add_to_cart,NIKE-SKU-00006,NIKE,2024-06-06T12:00:00Z,IN-NORTH
EVT-0000007,SES-000007,7,user7@example.com,checkout,PUMA-SKU-00007,PUMA,2024-06-07T12:00:00Z,IN-SOUTH
EVT-0000008,SES-000008,8,user8@example.com,purchase,NIKE-SKU-00008,NIKE,2024-06-08T12:00:00Z,IN-EAST
EVT-0000009,SES-000009,9,user9@example.com,view,PUMA-SKU-00009,PUMA,2024-06-09T12:00:00Z,IN-WEST
EVT-0000010,SES-000010,10,user10@example.com,add_to_cart,NIKE-SKU-00010,NIKE,2024-06-10T12:00:00Z,IN-NORTH
EVT-0000011,SES-000011,11,user11@example.com,checkout,PUMA-SKU-00011,PUMA,2024-06-11T12:00:00Z,IN-SOUTH
EVT-0000012,SES-000012,12,user12@example.com,purchase,NIKE-SKU-00012,NIKE,2024-06-12T12:00:00Z,IN-EAST
EVT-0000013,SES-000013,13,user13@example.com,view,PUMA-SKU-00013,PUMA,2024-06-13T12:00:00Z,IN-WEST
EVT-0000014,SES-000014,14,user14@example.com,add_to_cart,NIKE-SKU-00014,NIKE,2024-06-14T12:00:00Z,IN-NORTH
EVT-0000015,SES-000015,15,user15@example.com,checkout,PUMA-SKU-00015,PUMA,2024-06-15T12:00:00Z,IN-SOUTH
EVT-0000016,SES-000016,16,user16@example.com,purchase,NIKE-SKU-00016,NIKE,2024-06-16T12:00:00Z,IN-EAST
EVT-0000017,SES-000017,17,user17@example.com,view,PUMA-SKU-00017,PUMA,2024-06-17T12:00:00Z,IN-WEST
EVT-0000018,SES-000018,18,user18@example.com,add_to_cart,NIKE-SKU-00018,NIKE,2024-06-18T12:00:00Z,IN-NORTH
EVT-0000019,SES-000019,19,user19@example.com,checkout,PUMA-SKU-00019,PUMA,2024-06-19T12:00:00Z,IN-SOUTH
EVT-0000020,SES-000020,20,user20@example.com,purchase,NIKE-SKU-00020,NIKE,2024-06-20T12:00:00Z,IN-EAST
EVT-0000021,SES-000021,21,user21@example.com,view,PUMA-SKU-00021,PUMA,2024-06-21T12:00:00Z,IN-WEST
EVT-0000022,SES-000022,22,user22@example.com,add_to_cart,NIKE-SKU-00022,NIKE,2024-06-22T12:00:00Z,IN-NORTH
EVT-0000023,SES-000023,23,user23@example.com,checkout,PUMA-SKU-00023,PUMA,2024-06-23T12:00:00Z,IN-SOUTH
EVT-0000024,SES-000024,24,user24@example.com,purchase,NIKE-SKU-00024,NIKE,2024-06-24T12:00:00Z,IN-EAST
EVT-0000025,SES-000025,25,user25@example.com,view,PUMA-SKU-00025,PUMA,2024-06-25T12:00:00Z,IN-WEST
EVT-0000026,SES-000026,26,user26@example.com,add_to_cart,NIKE-SKU-00026,NIKE,2024-06-26T12:00:00Z,IN-NORTH
EVT-0000027,SES-000027,27,user27@example.com,checkout,PUMA-SKU-00027,PUMA,2024-06-27T12:00:00Z,IN-SOUTH
EVT-0000028,SES-000028,28,user28@example.com,purchase,NIKE-SKU-00028,NIKE,2024-06-28T12:00:00Z,IN-EAST
EVT-0000029,SES-000029,29,user29@example.com,view,PUMA-SKU-00029,PUMA,2024-06-01T12:00:00Z,IN-WEST
EVT-0000030,SES-000030,30,user30@example.com,add_to_cart,NIKE-SKU-00030,NIKE,2024-06-02T12:00:00Z,IN-NORTH
EVT-0000031,SES-000031,31,user31@example.com,checkout,PUMA-SKU-00031,PUMA,2024-06-03T12:00:00Z,IN-SOUTH
